chr1	x1	x2	chr2	y1	y2	color	comment
chr22	18800000	18900000	chr22	18900000	19000000	0,0,255	significant differentially interacting region
chr22	20200000	20300000	chr22	20300000	20400000	0,0,255	significant differentially interacting region
chr22	20300000	20400000	chr22	20700000	20800000	0,0,255	significant differentially interacting region
chr22	24200000	24300000	chr22	24300000	24400000	0,0,255	significant differentially interacting region
chr22	24200000	24300000	chr22	25100000	25200000	0,0,255	significant differentially interacting region
chr22	24300000	24400000	chr22	24600000	24700000	0,0,255	significant differentially interacting region
chr22	25300000	25400000	chr22	26900000	27000000	0,0,255	significant differentially interacting region
chr22	26400000	26500000	chr22	27100000	27200000	0,0,255	significant differentially interacting region
chr22	26500000	26600000	chr22	27700000	27800000	0,0,255	significant differentially interacting region
chr22	26500000	26600000	chr22	28000000	28100000	0,0,255	significant differentially interacting region
chr22	27000000	27100000	chr22	28000000	28100000	0,0,255	significant differentially interacting region
chr22	28000000	28100000	chr22	28700000	28800000	0,0,255	significant differentially interacting region
chr22	29900000	30000000	chr22	31000000	31100000	0,0,255	significant differentially interacting region
chr22	32600000	32700000	chr22	33500000	33600000	0,0,255	significant differentially interacting region
chr22	32800000	32900000	chr22	34900000	35000000	0,0,255	significant differentially interacting region
chr22	32900000	33000000	chr22	34000000	34100000	0,0,255	significant differentially interacting region
chr22	32900000	33000000	chr22	34500000	34600000	0,0,255	significant differentially interacting region
chr22	32900000	33000000	chr22	35100000	35200000	0,0,255	significant differentially interacting region
chr22	33200000	33300000	chr22	34400000	34500000	0,0,255	significant differentially interacting region
chr22	33200000	33300000	chr22	34600000	34700000	0,0,255	significant differentially interacting region
chr22	33200000	33300000	chr22	34800000	34900000	0,0,255	significant differentially interacting region
chr22	33200000	33300000	chr22	34900000	35000000	0,0,255	significant differentially interacting region
chr22	33300000	33400000	chr22	34600000	34700000	0,0,255	significant differentially interacting region
chr22	33300000	33400000	chr22	34700000	34800000	0,0,255	significant differentially interacting region
chr22	33300000	33400000	chr22	34900000	35000000	0,0,255	significant differentially interacting region
chr22	33600000	33700000	chr22	35600000	35700000	0,0,255	significant differentially interacting region
chr22	36400000	36500000	chr22	37400000	37500000	0,0,255	significant differentially interacting region
chr22	36800000	36900000	chr22	37900000	38000000	0,0,255	significant differentially interacting region
chr22	36800000	36900000	chr22	38100000	38200000	0,0,255	significant differentially interacting region
chr22	39700000	39800000	chr22	41400000	41500000	0,0,255	significant differentially interacting region
chr22	46700000	46800000	chr22	48400000	48500000	0,0,255	significant differentially interacting region
chr22	50300000	50400000	chr22	50900000	51000000	0,0,255	significant differentially interacting region
chr22	51100000	51200000	chr22	51200000	51300000	0,0,255	significant differentially interacting region
